Player,College,Pos,Tm,GP,TMP,TPTS,TRB,ORB,TAST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,STL,BLK,TOV,PF,MP,PTS,RB,AST,WS,WS/48,BPM,VORP,TS%,DRB,PER,VA,EWA
Zion Williamson,Duke,PF,NOP,19.0,565.0,448.0,129.0,55.0,41.0,172.0,292.0,0.589,6.0,13.0,0.462,98.0,152.0,0.645,16.0,9.0,51.0,32.0,29.7,23.6,6.8,2.2,1.8,0.149,2.4,0.6,0.03,74.0,354.75,152.16,5.1
Ja Morant,Murray State,PG,MEM,59.0,1771.0,1041.0,208.0,44.0,409.0,393.0,800.0,0.491,51.0,139.0,0.367,204.0,265.0,0.77,54.0,15.0,191.0,90.0,30.0,17.6,3.5,6.9,3.4,0.093,0.4,1.1,0.01,164.0,508.67,222.84,7.4
RJ Barrett,Duke,SG,NYK,56.0,1704.0,803.0,279.0,50.0,143.0,292.0,727.0,0.402,63.0,197.0,0.32,156.0,254.0,0.614,55.0,17.0,124.0,122.0,30.4,14.3,5.0,2.6,-0.5,-0.015,-4.3,-1.0,0.01,229.0,315.77,138.51,4.6
De'Andre Hunter,Virginia,SF,ATL,63.0,2018.0,778.0,286.0,44.0,112.0,280.0,683.0,0.41,108.0,304.0,0.355,110.0,144.0,0.764,44.0,18.0,103.0,182.0,32.0,12.3,4.5,1.8,0.1,0.001,-4.7,-1.4,0.01,242.0,403.55,187.73,6.3
Darius Garland,Vanderbilt,PG,CLE,59.0,1824.0,728.0,111.0,27.0,229.0,280.0,699.0,0.401,105.0,296.0,0.355,63.0,72.0,0.875,42.0,4.0,151.0,92.0,30.9,12.3,1.9,3.9,-1.3,-0.035,-5.6,-1.7,0.01,84.0,259.5,114.61,3.8
Jarrett Culver,Texas Tech,SG,MIN,63.0,1506.0,580.0,212.0,70.0,110.0,230.0,569.0,0.404,66.0,221.0,0.299,54.0,117.0,0.462,57.0,38.0,81.0,125.0,23.9,9.2,3.4,1.7,-0.1,-0.004,-4.0,-0.8,0.01,142.0,483.84,168.85,5.6
Coby White,UNC,SG,CHI,65.0,1674.0,859.0,230.0,28.0,175.0,312.0,792.0,0.394,133.0,376.0,0.354,102.0,129.0,0.791,49.0,6.0,109.0,117.0,25.8,13.2,3.5,2.7,0.9,0.026,-2.8,-0.3,0.01,202.0,522.78,197.27,6.6
Jaxson Hayes,Texas,C,NOP,56.0,951.0,420.0,223.0,82.0,51.0,155.0,235.0,0.66,1.0,4.0,0.25,109.0,173.0,0.63,23.0,53.0,41.0,142.0,17.0,7.5,4.0,0.9,3.5,0.176,0.1,0.5,0.01,141.0,760.79,190.35,6.3
Rui Hachimura,Gonzaga,PF,WAS,41.0,1217.0,548.0,248.0,63.0,70.0,218.0,456.0,0.478,20.0,73.0,0.274,92.0,111.0,0.829,34.0,7.0,41.0,89.0,29.7,13.4,6.0,1.7,1.7,0.066,-3.0,-0.3,0.01,185.0,460.33,198.96,6.6
Cam Reddish,Duke,SF,ATL,58.0,1551.0,610.0,216.0,35.0,87.0,213.0,554.0,0.384,83.0,250.0,0.332,101.0,126.0,0.802,62.0,28.0,96.0,132.0,26.7,10.5,3.7,1.5,-0.4,-0.011,-4.2,-0.9,0.01,181.0,367.49,142.26,4.7
Cameron Johnson,UNC,PF,PHO,49.0,996.0,398.0,140.0,39.0,52.0,136.0,325.0,0.418,91.0,229.0,0.397,35.0,46.0,0.761,30.0,16.0,29.0,72.0,20.3,8.1,2.9,1.1,1.8,0.086,-0.2,0.5,0.01,101.0,554.78,164.61,5.5
Tyler Herro,Kentucky,SG,MIA,47.0,1280.0,605.0,187.0,14.0,91.0,220.0,532.0,0.414,99.0,253.0,0.391,66.0,79.0,0.835,30.0,7.0,72.0,59.0,27.2,12.9,4.0,1.9,0.9,0.033,-2.3,-0.1,0.01,173.0,429.85,170.24,5.7
Romeo Langford,Indiana,SG,BOS,27.0,298.0,69.0,32.0,14.0,6.0,24.0,64.0,0.375,5.0,23.0,0.217,16.0,23.0,0.696,8.0,6.0,9.0,29.0,11.0,2.6,1.2,0.2,0.2,0.039,-4.6,-0.2,0.02,18.0,101.45,14.93,0.5
Sekou Doumbouya,,SF,DET,38.0,754.0,243.0,118.0,20.0,19.0,92.0,236.0,0.39,28.0,98.0,0.286,31.0,46.0,0.674,20.0,8.0,35.0,80.0,19.8,6.4,3.1,0.5,-0.3,-0.02,-6.7,-0.9,0.01,98.0,191.0,53.34,1.8
Nickeil Alexander-Walker,Virginia Tech,SG,NOP,41.0,501.0,211.0,80.0,8.0,74.0,77.0,227.0,0.339,40.0,117.0,0.342,17.0,28.0,0.607,11.0,7.0,40.0,46.0,12.2,5.1,2.0,1.8,-0.4,-0.034,-4.9,-0.4,0.01,72.0,159.18,27.07,0.9
Goga Bitadze,,C,IND,49.0,410.0,152.0,96.0,22.0,21.0,61.0,129.0,0.473,6.0,36.0,0.167,24.0,33.0,0.727,6.0,32.0,25.0,57.0,8.4,3.1,2.0,0.4,0.6,0.069,-2.5,0.0,0.01,74.0,466.76,57.19,1.9
Matisse Thybulle,Washington,SG,PHI,57.0,1110.0,267.0,86.0,35.0,70.0,96.0,234.0,0.41,50.0,142.0,0.352,25.0,41.0,0.61,80.0,40.0,45.0,120.0,19.5,4.7,1.5,1.2,1.9,0.084,0.1,0.6,0.01,51.0,444.2,126.23,4.2
Brandon Clarke,Gonzaga,PF,MEM,50.0,1086.0,602.0,292.0,78.0,72.0,254.0,408.0,0.623,21.0,52.0,0.404,73.0,93.0,0.785,26.0,42.0,46.0,82.0,21.7,12.0,5.8,1.4,4.4,0.192,3.5,1.5,0.01,214.0,1008.45,322.89,10.8
Grant Williams,Tennessee,PF,BOS,62.0,970.0,218.0,165.0,58.0,62.0,80.0,192.0,0.417,21.0,85.0,0.247,37.0,51.0,0.725,28.0,33.0,46.0,149.0,15.6,3.5,2.7,1.0,1.5,0.075,-2.6,-0.1,0.01,107.0,316.33,70.98,2.4
Darius Bazley,,PF,OKC,53.0,909.0,238.0,196.0,21.0,29.0,88.0,230.0,0.383,30.0,100.0,0.3,32.0,47.0,0.681,20.0,35.0,40.0,45.0,17.2,4.5,3.7,0.5,0.4,0.019,-2.5,-0.1,0.01,175.0,359.38,89.31,3.0
Ty Jerome,Virginia,PG,PHO,28.0,315.0,98.0,41.0,6.0,43.0,37.0,106.0,0.349,13.0,47.0,0.277,11.0,14.0,0.786,14.0,3.0,18.0,28.0,11.3,3.5,1.5,1.5,0.0,-0.002,-3.8,-0.1,0.02,35.0,115.94,17.7,0.6
Nassir Little,UNC,PF,POR,48.0,573.0,172.0,108.0,31.0,22.0,65.0,151.0,0.43,14.0,59.0,0.237,28.0,44.0,0.636,13.0,14.0,15.0,72.0,11.9,3.6,2.3,0.5,0.6,0.05,-3.5,-0.2,0.01,77.0,351.76,60.43,2.0
Mfiondu Kabengele,Florida State,C,LAC,12.0,64.0,42.0,11.0,1.0,2.0,14.0,32.0,0.438,9.0,20.0,0.45,5.0,5.0,1.0,2.0,2.0,2.0,9.0,5.3,3.5,0.9,0.2,0.2,0.175,2.1,0.1,0.05,10.0,203.8,15.28,0.5
Jordan Poole,Michigan,SG,GSW,57.0,1274.0,503.0,118.0,9.0,134.0,167.0,502.0,0.333,74.0,265.0,0.279,95.0,119.0,0.798,35.0,10.0,74.0,94.0,22.4,8.8,2.1,2.4,-1.2,-0.047,-6.6,-1.5,0.01,109.0,146.46,45.46,1.5
Keldon Johnson,Kentucky,SF,SAS,9.0,92.0,41.0,17.0,5.0,6.0,16.0,31.0,0.516,2.0,5.0,0.4,7.0,10.0,0.7,5.0,1.0,3.0,9.0,10.2,4.6,1.9,0.7,0.2,0.119,-0.9,0.0,0.06,12.0,119.52,16.6,0.6
Nicolas Claxton,Georgia,PF,BRK,15.0,187.0,66.0,44.0,19.0,16.0,27.0,48.0,0.563,1.0,7.0,0.143,11.0,21.0,0.524,1.0,8.0,9.0,14.0,12.5,4.4,2.9,1.1,0.5,0.124,-0.7,0.1,0.04,25.0,171.18,29.79,1.0
KZ Okpala,Stanford,SF,MIA,5.0,26.0,7.0,5.0,1.0,1.0,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,1.0,2.0,5.2,1.4,1.0,0.2,0.1,0.119,2.7,0.0,0.12,4.0,62.11,4.01,0.1
Carsen Edwards,Purdue,SG,BOS,35.0,316.0,106.0,43.0,6.0,22.0,37.0,113.0,0.327,21.0,68.0,0.309,11.0,13.0,0.846,10.0,3.0,15.0,33.0,9.0,3.0,1.2,0.6,0.1,0.012,-4.9,-0.2,0.01,37.0,147.6,18.42,0.6
Bruno Fernando,Maryland,C,ATL,56.0,713.0,240.0,198.0,67.0,49.0,103.0,199.0,0.518,5.0,37.0,0.135,29.0,51.0,0.569,18.0,17.0,42.0,107.0,12.7,4.3,3.5,0.9,0.8,0.055,-4.1,-0.4,0.01,131.0,552.91,102.8,3.4
Cody Martin,Nevada,SF,CHO,48.0,903.0,238.0,158.0,38.0,95.0,89.0,207.0,0.43,18.0,77.0,0.234,42.0,65.0,0.646,39.0,9.0,44.0,78.0,18.8,5.0,3.3,2.0,1.0,0.052,-2.1,0.0,0.01,120.0,295.65,80.01,2.7
Alen SmailagiÄ‡,,PF,GSW,14.0,139.0,59.0,27.0,10.0,13.0,20.0,40.0,0.5,3.0,13.0,0.231,16.0,19.0,0.842,3.0,4.0,11.0,14.0,9.9,4.2,1.9,0.9,0.2,0.081,-2.1,0.0,0.04,17.0,119.97,16.03,0.5
Justin James,Wyoming,SG,SAC,34.0,218.0,85.0,30.0,6.0,16.0,33.0,78.0,0.423,9.0,26.0,0.346,10.0,21.0,0.476,6.0,9.0,8.0,16.0,6.4,2.5,0.9,0.5,0.2,0.037,-0.7,0.1,0.01,24.0,295.6,27.23,0.9
Eric Paschall,Villanova,PF,GSW,60.0,1654.0,837.0,275.0,82.0,127.0,318.0,640.0,0.497,37.0,129.0,0.287,164.0,212.0,0.774,32.0,13.0,94.0,125.0,27.6,14.0,4.6,2.1,2.1,0.062,-2.7,-0.3,0.01,193.0,608.58,245.96,8.2
Admiral Schofield,Tennessee,SF,WAS,27.0,293.0,83.0,34.0,6.0,14.0,30.0,75.0,0.4,14.0,47.0,0.298,9.0,13.0,0.692,8.0,3.0,7.0,41.0,10.9,3.1,1.3,0.5,0.1,0.02,-5.3,-0.2,0.02,28.0,145.83,22.02,0.7
Jaylen Nowell,Washington,SG,MIN,15.0,151.0,57.0,13.0,3.0,19.0,19.0,53.0,0.358,3.0,26.0,0.115,16.0,17.0,0.941,3.0,1.0,3.0,11.0,10.1,3.8,0.9,1.3,0.2,0.051,-3.7,-0.1,0.03,10.0,58.91,7.3,0.2
Ignas Brazdeikis,Michigan,SF,NYK,9.0,53.0,17.0,5.0,2.0,4.0,6.0,22.0,0.273,1.0,9.0,0.111,4.0,5.0,0.8,0.0,1.0,2.0,3.0,5.9,1.9,0.6,0.4,-0.1,-0.109,-8.9,-0.1,0.04,3.0,-10.79,-1.87,-0.1
Terance Mann,Florida State,SG,LAC,35.0,271.0,56.0,33.0,4.0,38.0,22.0,54.0,0.407,3.0,12.0,0.25,9.0,12.0,0.75,8.0,5.0,14.0,36.0,7.7,1.6,0.9,1.1,0.3,0.057,-3.5,-0.1,0.01,29.0,78.79,7.85,0.3
Tremont Waters,LSU,PG,BOS,10.0,89.0,33.0,9.0,0.0,12.0,12.0,35.0,0.343,3.0,17.0,0.176,6.0,6.0,1.0,5.0,2.0,10.0,11.0,8.9,3.3,0.9,1.2,-0.1,-0.045,-6.5,-0.1,0.04,9.0,8.85,-0.29,-0.0
Jalen McDaniels,San Diego State,PF,CHO,16.0,293.0,89.0,65.0,15.0,13.0,33.0,70.0,0.471,9.0,24.0,0.375,14.0,17.0,0.824,8.0,3.0,11.0,36.0,18.3,5.6,4.1,0.8,0.5,0.078,-3.3,-0.1,0.04,50.0,135.47,33.86,1.1
Dewan Hernandez,Miami (FL),C,TOR,4.0,11.0,4.0,7.0,2.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,2.8,1.0,1.8,0.0,0.0,0.003,-21.3,-0.1,0.09,5.0,-7.85,-0.77,-0.0
