Tm,Player,College,GP,TMP,TPTS,TRB,TAST,FG%,3P%,FT%,MP,PTS,RB,AST,WS,WS/48,BPM,VORP,Pos,eFG%
NOP,Zion Williamson,Duke,19.0,565.0,448.0,129.0,41.0,0.589,0.462,0.645,29.7,23.6,6.8,2.2,1.8,0.149,2.4,0.6,PF,0.599
MEM,Ja Morant,Murray State,59.0,1771.0,1041.0,208.0,409.0,0.491,0.367,0.77,30.0,17.6,3.5,6.9,3.4,0.093,0.4,1.1,PG,0.523
NYK,RJ Barrett,Duke,56.0,1704.0,803.0,279.0,143.0,0.402,0.32,0.614,30.4,14.3,5.0,2.6,-0.5,-0.015,-4.3,-1.0,SG,0.445
LAL,De'Andre Hunter,Virginia,63.0,2018.0,778.0,286.0,112.0,0.41,0.355,0.764,32.0,12.3,4.5,1.8,0.1,0.001,-4.7,-1.4,SF,0.489
CLE,Darius Garland,Vanderbilt,59.0,1824.0,728.0,111.0,229.0,0.401,0.355,0.875,30.9,12.3,1.9,3.9,-1.3,-0.035,-5.6,-1.7,PG,0.47600000000000003
PHO,Jarrett Culver,Texas Tech,63.0,1506.0,580.0,212.0,110.0,0.404,0.299,0.462,23.9,9.2,3.4,1.7,-0.1,-0.004,-4.0,-0.8,SG,0.462
CHI,Coby White,UNC,65.0,1674.0,859.0,230.0,175.0,0.394,0.354,0.791,25.8,13.2,3.5,2.7,0.9,0.026,-2.8,-0.3,SG,0.478
ATL,Jaxson Hayes,Texas,56.0,951.0,420.0,223.0,51.0,0.66,0.25,0.63,17.0,7.5,4.0,0.9,3.5,0.176,0.1,0.5,C,0.662
WAS,Rui Hachimura,Gonzaga,41.0,1217.0,548.0,248.0,70.0,0.478,0.274,0.829,29.7,13.4,6.0,1.7,1.7,0.066,-3.0,-0.3,PF,0.5
ATL,Cam Reddish,Duke,58.0,1551.0,610.0,216.0,87.0,0.384,0.332,0.802,26.7,10.5,3.7,1.5,-0.4,-0.011,-4.2,-0.9,SF,0.45899999999999996
MIN,Cameron Johnson,UNC,49.0,996.0,398.0,140.0,52.0,0.418,0.397,0.761,20.3,8.1,2.9,1.1,1.8,0.086,-0.2,0.5,PF,0.5579999999999999
MIA,Tyler Herro,Kentucky,47.0,1280.0,605.0,187.0,91.0,0.414,0.391,0.835,27.2,12.9,4.0,1.9,0.9,0.033,-2.3,-0.1,SG,0.507
BOS,Romeo Langford,Indiana,27.0,298.0,69.0,32.0,6.0,0.375,0.217,0.696,11.0,2.6,1.2,0.2,0.2,0.039,-4.6,-0.2,SG,0.414
DET,Sekou Doumbouya,,38.0,754.0,243.0,118.0,19.0,0.39,0.286,0.674,19.8,6.4,3.1,0.5,-0.3,-0.02,-6.7,-0.9,SF,0.449
BRK,Nickeil Alexander-Walker,Virginia Tech,41.0,501.0,211.0,80.0,74.0,0.339,0.342,0.607,12.2,5.1,2.0,1.8,-0.4,-0.034,-4.9,-0.4,SG,0.42700000000000005
IND,Goga Bitadze,,49.0,410.0,152.0,96.0,21.0,0.473,0.167,0.727,8.4,3.1,2.0,0.4,0.6,0.069,-2.5,0.0,C,0.496
BOS,Matisse Thybulle,Washington,57.0,1110.0,267.0,86.0,70.0,0.41,0.352,0.61,19.5,4.7,1.5,1.2,1.9,0.084,0.1,0.6,SG,0.517
OKC,Brandon Clarke,Gonzaga,50.0,1086.0,602.0,292.0,72.0,0.623,0.404,0.785,21.7,12.0,5.8,1.4,4.4,0.192,3.5,1.5,PF,0.648
BOS,Grant Williams,Tennessee,62.0,970.0,218.0,165.0,62.0,0.417,0.247,0.725,15.6,3.5,2.7,1.0,1.5,0.075,-2.6,-0.1,PF,0.47100000000000003
UTA,Darius Bazley,,53.0,909.0,238.0,196.0,29.0,0.383,0.3,0.681,17.2,4.5,3.7,0.5,0.4,0.019,-2.5,-0.1,PF,0.44799999999999995
PHI,Ty Jerome,Virginia,28.0,315.0,98.0,41.0,43.0,0.349,0.277,0.786,11.3,3.5,1.5,1.5,0.0,-0.002,-3.8,-0.1,PG,0.41
POR,Nassir Little,UNC,48.0,573.0,172.0,108.0,22.0,0.43,0.237,0.636,11.9,3.6,2.3,0.5,0.6,0.05,-3.5,-0.2,PF,0.47700000000000004
BRK,Mfiondu Kabengele,Florida State,12.0,64.0,42.0,11.0,2.0,0.438,0.45,1.0,5.3,3.5,0.9,0.2,0.2,0.175,2.1,0.1,C,0.578
GSW,Jordan Poole,Michigan,57.0,1274.0,503.0,118.0,134.0,0.333,0.279,0.798,22.4,8.8,2.1,2.4,-1.2,-0.047,-6.6,-1.5,SG,0.406
SAS,Keldon Johnson,Kentucky,9.0,92.0,41.0,17.0,6.0,0.516,0.4,0.7,10.2,4.6,1.9,0.7,0.2,0.119,-0.9,0.0,SF,0.5479999999999999
BRK,Nicolas Claxton,Georgia,15.0,187.0,66.0,44.0,16.0,0.563,0.143,0.524,12.5,4.4,2.9,1.1,0.5,0.124,-0.7,0.1,PF,0.573
PHO,KZ Okpala,Stanford,5.0,26.0,7.0,5.0,1.0,0.6,0.0,0.5,5.2,1.4,1.0,0.2,0.1,0.119,2.7,0.0,SF,0.6
PHI,Carsen Edwards,Purdue,35.0,316.0,106.0,43.0,22.0,0.327,0.309,0.846,9.0,3.0,1.2,0.6,0.1,0.012,-4.9,-0.2,SG,0.42
PHI,Bruno Fernando,Maryland,56.0,713.0,240.0,198.0,49.0,0.518,0.135,0.569,12.7,4.3,3.5,0.9,0.8,0.055,-4.1,-0.4,C,0.53
CHO,Cody Martin,Nevada,48.0,903.0,238.0,158.0,95.0,0.43,0.234,0.646,18.8,5.0,3.3,2.0,1.0,0.052,-2.1,0.0,SF,0.473
NOP,Alen SmailagiÄ‡,,14.0,139.0,59.0,27.0,13.0,0.5,0.231,0.842,9.9,4.2,1.9,0.9,0.2,0.081,-2.1,0.0,PF,0.5379999999999999
SAC,Justin James,Wyoming,34.0,218.0,85.0,30.0,16.0,0.423,0.346,0.476,6.4,2.5,0.9,0.5,0.2,0.037,-0.7,0.1,SG,0.48100000000000004
GSW,Eric Paschall,Villanova,60.0,1654.0,837.0,275.0,127.0,0.497,0.287,0.774,27.6,14.0,4.6,2.1,2.1,0.062,-2.7,-0.3,PF,0.526
PHI,Admiral Schofield,Tennessee,27.0,293.0,83.0,34.0,14.0,0.4,0.298,0.692,10.9,3.1,1.3,0.5,0.1,0.02,-5.3,-0.2,SF,0.493
MIN,Jaylen Nowell,Washington,15.0,151.0,57.0,13.0,19.0,0.358,0.115,0.941,10.1,3.8,0.9,1.3,0.2,0.051,-3.7,-0.1,SG,0.387
SAC,Ignas Brazdeikis,Michigan,9.0,53.0,17.0,5.0,4.0,0.273,0.111,0.8,5.9,1.9,0.6,0.4,-0.1,-0.109,-8.9,-0.1,SF,0.295
LAC,Terance Mann,Florida State,35.0,271.0,56.0,33.0,38.0,0.407,0.25,0.75,7.7,1.6,0.9,1.1,0.3,0.057,-3.5,-0.1,SG,0.435
BOS,Tremont Waters,LSU,10.0,89.0,33.0,9.0,12.0,0.343,0.176,1.0,8.9,3.3,0.9,1.2,-0.1,-0.045,-6.5,-0.1,PG,0.386
CHO,Jalen McDaniels,San Diego State,16.0,293.0,89.0,65.0,13.0,0.471,0.375,0.824,18.3,5.6,4.1,0.8,0.5,0.078,-3.3,-0.1,PF,0.536
TOR,Dewan Hernandez,Miami (FL),4.0,11.0,4.0,7.0,0.0,0.2,0.0,1.0,2.8,1.0,1.8,0.0,0.0,0.003,-21.3,-0.1,C,0.2
